case_id,event_type,event_severity,actions_taken,outcome_service_level,outcome_total_cost,outcome_disruption_risk,outcome_recovery_speed,reflection_notes
CASE_2024_001,supplier_delay,0.8,"REORDER SKU_1 from backup SUP_B|REROUTE via R4",0.95,4800.0,0.22,0.78,Switching to backup supplier with priority reorder prevented stockout within 48h. High cost but acceptable service level maintained.
CASE_2024_002,route_blockage,0.7,"REROUTE all SKUs from R3 to R1|REORDER SKU_2 safety buffer",0.98,5200.0,0.18,0.85,Rerouting early before stockout reduced risk significantly. Building safety buffer for high-demand SKUs proved effective.
CASE_2024_003,demand_spike,0.65,"REORDER SKU_2 x50 emergency|SWITCH_SUPPLIER to high-capacity SUP_D",0.88,6100.0,0.30,0.60,Demand spike required immediate large reorder. Switching to high-capacity supplier avoided stockout but at higher unit cost.
CASE_2024_004,supplier_delay,0.5,"REORDER from primary supplier with extended lead time buffer",0.92,3900.0,0.25,0.70,Moderate delay handled by increasing order quantity from primary. No supplier switch needed — cost-effective resolution.
CASE_2024_005,compound,0.9,"SWITCH_SUPPLIER all SKUs|REROUTE via secondary routes|REORDER emergency buffer x2",0.82,8500.0,0.45,0.50,Compound disruption required full mobilization. Despite high cost service level held above 80%. Prior early warning improved response time.
CASE_2024_006,route_blockage,0.4,"REROUTE SKU_1 to backup route|monitor only",0.99,3200.0,0.12,0.90,Low-severity blockage resolved by simple reroute. No inventory action needed. Fast recovery at minimal cost.
CASE_2024_007,demand_spike,0.85,"REORDER all SKUs x2|SWITCH_SUPPLIER to SUP_B|add buffer stock",0.90,7200.0,0.35,0.65,Extreme demand spike required multi-SKU emergency reorder. Margin compressed but service level held.
CASE_2024_008,supplier_delay,0.95,"EMERGENCY SWITCH_SUPPLIER|expedite REORDER|REROUTE to fastest route",0.80,9100.0,0.40,0.55,Critical supplier failure at peak season. Required full emergency protocol. Cost was very high but stockout was avoided.
CASE_2025_TEST,route_blockage,0.6,"REROUTE SKU_3 to R2",0.98,2500.0,0.15,0.80,Matched common route blockage pattern. Rerouting SKU_3 early is the standard successful play.

